# List of fake referrers ordered by the number of hits
# Format: <nb of hits>,<referrer url>
149,http://mackmaine.350.com/
96,http://killingmeinside.350.com/
96,http://carlrandyf29v50.webstarts.com/
58,http://kevinisrealm46u96.webstarts.com/
57,http://jaysonlavernm47p34.webstarts.com/
51,http://bernietrumanv41s14.webstarts.com/
47,http://judejodym73y28.webstarts.com/
45,http://herbwealth.ru/default/
40,http://herbwealth.ru/
38,http://lenardjaviere28e23.webstarts.com/
30,http://vitoalvac86c79.webstarts.com/
23,http://domenichymanj75g78.webstarts.com/
20,http://www.webjam.com/lipotrexate11
17,http://dereklacyr12i98.webstarts.com/
16,http://hiltonbartg10d99.webstarts.com/
16,http://larrysantiagf73x22.webstarts.com/
15,http://www.lilwayne2011.350.com/
15,http://marlinrefugij26d69.webstarts.com/
15,http://nathanaelanda63k69.webstarts.com/
10,http://www.webjam.com/starlix11
10,http://shine.yahoo.com/channel/none/better-dish-network-closed-caption-problems-on-dish-network-1340227/
10,http://jerald.net/members/Adult-Dating-Sites-13-29-51.aspx
10,http://destinationselsewhere.com/members/Data-Recovery-78-90-85.aspx
10,http://pedals2people.com/members/Acne-Medications-40-61-63.aspx
10,http://shine.yahoo.com/channel/none/better-home-sale-new-brunswick-nj-home-for-sale-1358279/
10,http://pedals2people.com/members/Bankruptcy-Services-75-86-59.aspx
10,http://shine.yahoo.com/channel/none/better-laptop-computers-dynex-usb-20-notebook-card-1358799/
10,http://shine.yahoo.com/channel/none/better-diet-weight-loss-diet-virus-smss-1340066/
10,http://jerald.net/members/Bankruptcy-Services-10-4-58.aspx
10,http://pedals2people.com/members/Conferencing-Solutions-25-73-37.aspx
10,http://jerald.net/members/Car-Rentals-4-17-81.aspx
10,http://community.videospin.com/members/Better+Laptop+Computers+12+86+34.aspx
10,http://community.videospin.com/members/Better+Conferencing+Solutions+49+70+76.aspx
10,http://ogudosa.freehostia.com/njvcrud.html
10,http://www.webjam.com/femalesexualtonic11
10,http://oxepeka.freehostia.com/conbqim.html
10,http://www.webjam.com/smokox11
10,http://miromoho.freehostia.com/ixipugg.html
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-trandate-online-without-prescription-247_701.html
10,http://www.webjam.com/nutridrine11
10,http://ogudosa.freehostia.com/nlxolfx.html
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-levitra-online-without-prescription-247_453.html
10,http://www.webjam.com/hydrea11
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-nicocease-online-without-prescription-247_525.html
10,http://www.webjam.com/femcare11
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-torsemide-online-without-prescription-247_698.html
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-femara-online-without-prescription-247_349.html
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-l-taurine-online-without-prescription-247_441.html
10,http://www.webjam.com/indinavir11
10,http://healthcare247.socialgo.com/members/profile/1/blog-view/buy-cheap-provera-online-without-prescription-247_599.html
10,http://community.bsu.edu/user/Profile.aspx?UserID=31843
10,http://shine.yahoo.com/channel/none/better-cosmetic-dentistry-american-academy-of-esthetic-dentistry-1335580/
10,http://andyetl.com/cs2007/members/Find-Free-Mp3-Ringtones-Right-Here--y-ck.aspx
10,http://www.witchschool.com/profiles/blogs/business-cards-better-business
10,http://digital-panorama.com/cs/members/Find-Buying-Franchise-Right-Here--v-ym.aspx
10,http://new.iesny.org/CS/members/Find-New-Car-Purchase-Right-Here--l-pg.aspx
10,http://villafirenze.org/community/members/Find+Hawaii+Vacations+Right+Here++o+mg.aspx
10,http://biztalkforums.com/members/Find-Adult-Dating-Sites-Right-Here--h-uy.aspx
10,http://community.stretcher.com/members/Find-Printer-Ink-Cartridges-Right-Here--g-wu.aspx
10,http://forum.lookingforteam.com/members/Find-Loan-Consolidation-Right-Here--p-fk.aspx
10,http://soultraders.ning.com/profiles/blogs/conferencing-solutions-better
10,http://pentagrama.ning.com/profiles/blogs/free-mp3-ringtones-better-free
10,http://bf.alxsiteworks.com/members/Find-Auto-Accident-Attorney-Right-Here--i-mc.aspx
10,http://billoffederalism.ning.com/profiles/blogs/sprint-cell-phone-better
10,http://pedals2people.com/members/Find-Home-Sale-Right-Here--r-mg.aspx
10,http://garyroosevelt.ning.com/profiles/blogs/free-mp3-ringtones-better-free
10,http://thedogclub.ning.com/profiles/blogs/cooking-class-better-cooking
10,http://allfordakwah.ning.com/profiles/blogs/tax-preparation-better-tax
10,http://comfortablyproductive.ning.com/profiles/blogs/london-hotels-better-london
10,http://robfanclub.ning.com/profiles/blogs/laptop-computers-better-laptop
10,http://winphonezone.in.th/members/Find-Home-Loans-Right-Here--d-vj.aspx
10,http://www.acquaintfitness.com/profiles/blogs/car-rentals-better-car-rentals
10,http://damnghidamlam.com/members/Find-Teeth-Whitening-Right-Here--g-je.aspx
10,http://dslranswers.com/members/Find-Career-Training-Right-Here--k-ix.aspx
10,http://fnfarmy.lupefiasco.com/profiles/blogs/teeth-whitening-better-teeth
10,http://esuper.ning.com/profiles/blogs/vacation-deals-better-vacation
10,http://mixxbosses.ning.com/profiles/blogs/conferencing-solutions-better
10,http://blogs.it.hik.se/members/Find-Acne-Medications-Right-Here--w-dv.aspx
10,http://xlhelp.gr/members/Find-Vacation-Deals-Right-Here--j-io.aspx
10,http://selenagomezgirl.ning.com/profiles/blogs/las-vegas-hotel-better-las
10,http://sweatzone.com/members/Find+Weight+Loss+Right+Here++r+vi.aspx
10,http://loco4chat.com/cs3/members/Find-Cheap-Flights-Right-Here--j-bm.aspx
10,http://farmacieonline.ro/members/Find-Home-Sale-Right-Here--j-ex.aspx
10,http://fellowbaseballnuts.com/members/Find-Cheap-Flights-Right-Here--f-fb.aspx
10,http://apezaho.freehostia.com/jilfyby.html
10,http://shine.yahoo.com/channel/none/better-bankruptcy-services-ohio-chapter-13-bankruptcy-trustee-1330074/
10,http://paintersjournal.com/members/Moving-Company-Best-Offers.-Truck-rental-and-moving.aspx
10,http://fortheloveofthecode.com/members/contactlens16v.aspx
9,http://www.webjam.com/noroxin11
9,http://soulsharing.org/members/Health-Insurance-40-24-57.aspx
9,http://pedals2people.com/members/Auto-Insurance-64-45-94.aspx
9,http://buqozig.freehostia.com/wkpsqhg.html
9,http://shine.yahoo.com/channel/none/better-cash-advance-how-does-check-cash-advance-work-1332168/
6,http://www.hbdrake.350.com/
5,http://www.williamtheone.350.com/
5,http://hakinesu.freehostia.com/uchrwop.html
5,http://www.entraj.350.com/
5,http://latticesoft.com/forums/members/conferencingsolutions39p.aspx
5,http://paintersjournal.com/members/Credit-Card-Application-Best-Offers.-Uk-credit-cards-online.aspx
5,http://community.energy-speakers.com/members/vacationineurope11h.aspx
